"partyid","age","sex","race","degree","attend"
"Democrat",22,"1","1","3","2"
"Republican",21,"1","1","1","0"
"Democrat",42,"1","3","1","0"
"Republican",49,"2","1","1","0"
"Democrat",36,"2","2","3","0"
"Republican",35,"2","2","1","4"
"Republican",36,"1","1","1","7"
"Democrat",47,"2","2","1","5"
"Democrat",76,"2","3","0","7"
"Democrat",39,"1","3","0","3"
"Republican",71,"1","1","1","7"
"Democrat",42,"2","1","3","5"
"Republican",22,"1","1","1","3"
"Republican",44,"2","1","1","7"
"Democrat",42,"2","1","1","4"
"Democrat",62,"1","1","4","7"
"Democrat",27,"2","3","3","0"
"Democrat",30,"2","2","1","3"
"Democrat",29,"2","3","4","5"
"Democrat",69,"2","1","1","0"
"Democrat",51,"2","1","4","1"
"Democrat",57,"2","1","3","7"
"Republican",44,"1","1","3","2"
"Democrat",73,"2","1","3","0"
"Republican",73,"2","1","3","2"
"Democrat",84,"2","1","3","7"
"Republican",63,"1","1","4","0"
"Democrat",42,"2","3","3","7"
"Democrat",38,"1","3","2","2"
"Democrat",46,"1","1","4","4"
"Democrat",45,"2","2","3","6"
"Democrat",46,"1","1","3","0"
"Democrat",28,"1","3","3","2"
"Republican",81,"2","1","4","7"
"Democrat",47,"1","1","3","7"
"Democrat",68,"1","1","1","3"
"Democrat",32,"2","3","1","7"
"Democrat",59,"1","1","1","0"
"Democrat",32,"2","1","4","0"
"Democrat",51,"2","3","1","3"
"Democrat",28,"2","2","3","0"
"Republican",84,"1","1","1","7"
"Democrat",99,"2","3","1","6"
"Democrat",19,"2","3","1","4"
"Democrat",41,"1","3","3","4"
"Democrat",23,"2","1","1","3"
"Democrat",51,"1","1","1","8"
"Republican",27,"1","3","1","2"
"Republican",26,"1","3","4","1"
"Republican",55,"2","1","1","8"
"Democrat",55,"2","2","4","0"
"Democrat",43,"1","1","3","2"
"Democrat",32,"2","3","3","2"
"Republican",63,"1","1","4","0"
"Republican",60,"1","1","1","5"
"Democrat",33,"2","1","2","2"
"Republican",40,"2","1","4","0"
"Democrat",68,"1","1","1","1"
"Republican",71,"1","1","4","7"
"Democrat",28,"1","1","3","2"
"Democrat",49,"1","2","1","0"
"Republican",66,"2","1","4","4"
"Republican",62,"1","1","1","0"
"Democrat",29,"1","2","3","1"
"Democrat",74,"1","1","0","8"
"Republican",78,"1","2","3","7"
"Democrat",39,"2","2","1","0"
"Republican",73,"1","1","3","3"
"Republican",67,"2","3","2","8"
"Democrat",82,"2","1","0","0"
"Democrat",61,"2","1","1","6"
"Republican",22,"1","1","0","0"
"Democrat",41,"1","1","1","6"
"Democrat",33,"2","1","0","0"
"Democrat",49,"2","1","0","5"
"Democrat",22,"1","3","0","2"
"Democrat",42,"2","3","0","5"
"Democrat",66,"2","1","1","7"
"Democrat",35,"2","3","1","0"
"Republican",52,"1","1","1","7"
"Democrat",50,"1","3","3","7"
"Democrat",47,"1","2","1","7"
"Democrat",65,"2","1","1","3"
"Republican",62,"1","1","1","2"
"Democrat",18,"2","3","1","2"
"Republican",24,"1","3","3","4"
"Democrat",40,"1","1","4","0"
"Republican",24,"2","1","2","0"
"Republican",22,"2","1","1","5"
"Republican",24,"1","1","2","2"
"Republican",21,"1","1","1","0"
"Republican",32,"2","1","3","7"
"Republican",55,"2","1","1","7"
"Republican",40,"1","1","1","4"
"Republican",38,"1","1","1","8"
"Democrat",34,"2","2","3","7"
"Democrat",60,"2","1","1","3"
"Republican",39,"1","3","3","7"
"Republican",33,"2","1","3","4"
"Democrat",67,"1","1","1","0"
"Republican",51,"1","1","1","0"
"Democrat",65,"1","1","1","0"
"Democrat",25,"2","2","1","7"
"Republican",36,"2","1","1","4"
"Democrat",38,"2","3","1","3"
"Democrat",18,"1","3","1","8"
"Democrat",38,"1","1","0","2"
"Republican",25,"2","1","3","2"
"Democrat",57,"1","1","2","3"
"Republican",62,"2","1","4","3"
"Democrat",30,"1","1","1","0"
"Democrat",50,"1","1","1","5"
"Democrat",65,"2","1","4","0"
"Republican",72,"1","1","1","8"
"Democrat",27,"2","1","1","0"
"Democrat",22,"1","1","1","4"
"Democrat",33,"2","3","0","2"
"Republican",67,"2","1","1","5"
"Democrat",89,"2","1","4","3"
"Democrat",48,"2","1","1","3"
"Democrat",42,"1","1","1","2"
"Democrat",26,"2","2","3","8"
"Democrat",35,"2","1","0","5"
"Democrat",61,"1","3","1","7"
"Democrat",39,"1","1","1","3"
"Republican",61,"1","1","3","3"
"Republican",65,"1","1","4","3"
"Republican",34,"1","1","4","3"
"Democrat",87,"1","1","1","2"
"Democrat",24,"1","1","1","0"
"Democrat",39,"2","1","1","5"
"Republican",54,"2","1","3","7"
"Democrat",53,"2","1","3","7"
"Democrat",62,"1","2","1","3"
"Democrat",39,"1","3","0","5"
"Democrat",30,"2","3","1","3"
"Democrat",35,"2","1","1","3"
"Republican",73,"2","1","3","5"
"Republican",69,"2","1","3","7"
"Republican",55,"1","1","3","2"
"Democrat",78,"2","1","1","3"
"Republican",68,"2","1","3","5"
"Republican",71,"1","1","3","5"
"Republican",47,"2","1","3","7"
"Democrat",68,"2","1","4","0"
"Republican",55,"1","1","3","2"
"Republican",49,"2","1","1","6"
"Republican",68,"2","1","1","6"
"Republican",30,"1","1","3","8"
"Democrat",41,"2","1","3","0"
"Democrat",62,"2","1","4","2"
"Republican",61,"2","1","1","1"
"Republican",33,"1","1","2","7"
"Republican",65,"2","1","3","7"
"Democrat",55,"1","2","0","3"
"Democrat",35,"1","3","0","2"
"Democrat",38,"1","1","4","3"
"Republican",81,"1","1","4","2"
"Republican",21,"2","1","1","5"
"Republican",30,"2","1","1","3"
"Republican",62,"2","1","1","7"
"Democrat",39,"1","1","3","5"
